iter	Passed	Remaining
523	47472	164522
524	47557	164411
525	47631	164264
526	47712	164140
527	47793	164017
528	47878	163910
529	47967	163812
530	48059	163728
531	48146	163625
532	48232	163520
533	48317	163409
534	48399	163292
535	48489	163198
536	48577	163101
537	48669	163015
538	48762	162934
539	48849	162831
540	48942	162749
541	49037	162673
542	49130	162592
543	49215	162483
544	49306	162393
545	49390	162284
546	49482	162198
547	49568	162091
548	49649	161970
549	49739	161880
550	49827	161780
551	49913	161675
552	49998	161568
553	50088	161477
554	50180	161391
555	50258	161260
556	50338	161136
557	50413	160998
558	50498	160891
559	50578	160768
560	50654	160631
561	50742	160534
562	50825	160420
563	50916	160332
564	50999	160219
565	51076	160087
566	51163	159988
567	51243	159865
568	51326	159751
569	51397	159602
570	51490	159522
571	51576	159418
572	51665	159325
573	51744	159200
574	51830	159097
575	51914	158988
576	52005	158900
577	52094	158806
578	52178	158699
579	52264	158596
580	52351	158494
581	52441	158404
582	52531	158315
583	52628	158246
584	52726	158179
585	52818	158095
586	52905	157995
587	52994	157901
588	53076	157787
589	53169	157706
590	53252	157594
591	53326	157457
592	53402	157324
593	53484	157212
594	53567	157102
595	53650	156991
596	53734	156882
597	53820	156780
598	53909	156689
599	53992	156576
600	54077	156474
601	54165	156376
602	54253	156281
603	54340	156184
604	54424	156076
605	54503	155956
606	54579	155825
607	54663	155720
608	54757	155641
609	54841	155534
610	54934	155452
611	55028	155375
612	55117	155282
613	55217	155219
614	55316	155156
615	55401	155052
616	55503	154995
617	55604	154935
618	55692	154840
619	55793	154781
620	55875	154670
621	55971	154597
622	56065	154517
623	56159	154438
624	56246	154341
625	56333	154242
626	56413	154125
627	56490	153999
628	56570	153882
629	56653	153773
630	56740	153674
631	56822	153564
632	56903	153449
633	56982	153330
634	57067	153229
635	57159	153144
636	57251	153060
637	57326	152931
638	57407	152817
639	57487	152701
640	57571	152596
641	57652	152482
642	57736	152377
643	57809	152244
644	57894	152142
645	57997	152085
646	58084	151990
647	58177	151907
648	58275	151840
649	58366	151753
650	58459	151670
651	58542	151562
652	58631	151472
653	58730	151405
654	58813	151299
655	58906	151216
656	58993	151119
657	59082	151029
658	59176	150950
659	59271	150873
660	59356	150770
661	59436	150656
662	59518	150546
663	59597	150431
664	59680	150323
665	59759	150206
666	59843	150100
667	59930	150004
668	60016	149907
669	60106	149818
670	60202	149743
671	60285	149637
672	60365	149523
673	60451	149424
674	60535	149320
675	60617	149212
676	60699	149103
677	60787	149011
678	60877	148922
679	60970	148839
680	61068	148769
681	61166	148702
682	61266	148636
683	61346	148524
684	61439	148441
685	61530	148354
686	61619	148264
687	61711	148179
688	61792	148069
689	61887	147992
690	61979	147907
691	62058	147792
692	62146	147698
693	62231	147598
694	62330	147531
695	62431	147466
696	62520	147375
697	62614	147297
698	62703	147204
699	62792	147114
700	62872	147002
701	62958	146903
702	63039	146793
703	63127	146699
704	63201	146574
705	63286	146473
706	63371	146373
707	63462	146285
708	63536	146160
709	63624	146068
710	63711	145971
711	63793	145865
712	63877	145762
713	63967	145674
714	64055	145579
715	64147	145495
716	64239	145412
717	64331	145327
718	64407	145207
719	64495	145114
720	64577	145009
721	64662	144908
722	64756	144827
723	64844	144736
724	64930	144638
725	65026	144562
726	65118	144479
727	65207	144387
728	65307	144320
729	65394	144225
730	65473	144112
731	65565	144029
732	65651	143931
733	65746	143853
734	65835	143763
735	65928	143680
736	66023	143602
737	66119	143526
738	66208	143436
739	66293	143336
740	66377	143236
741	66461	143134
742	66556	143055
743	66650	142976
744	66757	142922
745	66844	142828
746	66930	142731
747	67024	142650
748	67128	142591
749	67239	142547
750	67352	142506
751	67466	142468
752	67563	142394
753	67653	142306
754	67750	142232
755	67828	142117
756	67915	142022
757	68009	141940
758	68098	141848
759	68184	141752
760	68269	141653
761	68359	141563
762	68446	141467
763	68534	141373
764	68618	141272
765	68693	141153
766	68769	141035
767	68858	140944
768	68950	140859
769	69031	140751
770	69114	140649
771	69197	140546
772	69280	140444
773	69364	140341
774	69447	140238
775	69534	140143
776	69610	140026
777	69693	139924
778	69780	139829
779	69868	139737
780	69956	139643
781	70040	139544
782	70130	139455
783	70219	139364
784	70319	139295
785	70423	139234
786	70515	139149
787	70608	139066
788	70706	138993
789	70787	138886
790	70868	138780
791	70953	138681
792	71040	138587
793	71130	138498
794	71222	138414
795	71316	138333
796	71418	138266
797	71581	138319
798	71716	138316
799	71830	138274
800	71918	138180
801	72001	138078
802	72098	138001
803	72189	137913
804	72278	137823
805	72367	137732
806	72466	137659
807	72561	137579
808	72654	137494
809	72754	137425
810	72846	137338
811	72938	137253
812	73027	137163
813	73129	137095
814	73224	137014
815	73326	136948
816	73426	136876
817	73521	136797
818	73611	136706
819	73696	136608
820	73787	136520
821	73863	136404
822	73957	136323
823	74042	136223
824	74134	136137
825	74219	136039
826	74308	135947
827	74394	135850
828	74497	135784
829	74581	135684
830	74667	135588
831	74753	135490
832	74840	135395
833	74929	135304
834	75016	135209
835	75104	135116
836	75192	135022
837	75288	134945
838	75388	134872
839	75477	134781
840	75563	134684
841	75651	134591
842	75740	134499
843	75830	134410
844	75919	134318
845	76015	134240
846	76109	134157
847	76202	134073
848	76296	133991
849	76377	133885
850	76471	133802
851	76559	133708
852	76670	133657
853	76762	133570
854	76848	133473
855	76933	133376
856	77024	133287
857	77101	133174
858	77185	133076
859	77267	132971
860	77351	132872
861	77436	132774
862	77527	132686
863	77609	132582
864	77701	132497
865	77801	132423
866	77896	132343
867	77985	132252
868	78071	132156
869	78164	132071
870	78244	131965
871	78328	131864
872	78421	131780
873	78511	131690
874	78595	131591
875	78690	131510
